iter	RMSE
0	39277491.73
1	38820139.2
2	38368146.9
3	37921418.23
4	37479978.78
5	37043681.59
6	36612518.52
7	36186386.42
8	35765209.14
9	35348996.22
10	34937630.13
11	34531028.16
12	34129224.88
13	33732078.1
14	33339609.27
15	32951657.32
16	32568289.47
17	32189389.76
18	31814912.33
19	31444791.73
20	31078951.8
21	30717378.01
22	30360057.78
23	30006901.61
24	29657835.78
25	29312851.28
26	28971890.75
27	28634858.17
28	28301785.2
29	27972604.07
30	27647251.85
31	27325642.96
32	27007817.03
33	26693688.45
34	26383183.71
35	26076314.47
36	25772993.21
37	25473227.73
38	25176944.02
39	24884128.84
40	24594677.1
41	24308593.32
42	24025884.51
43	23746465.83
44	23470276.45
45	23197316.17
46	22927529.83
47	22660882.56
48	22397322.82
49	22136847.3
50	21879398.07
51	21624906.23
52	21373416.45
53	21124845.53
54	20879151.53
55	20636338.08
56	20396325.49
57	20159085.42
58	19924629.75
59	19692910.07
60	19463894.62
61	19237535.77
62	19013816.92
63	18792657.53
64	18574097.09
65	18358092.41
66	18144584.15
67	17933541.89
68	17724974.68
69	17518835.63
70	17315103.72
71	17113740.51
72	16914717.59
73	16718010.64
74	16523565.21
75	16331404.51
76	16141484.9
77	15953770.26
78	15768235.48
79	15584856.43
80	15403590.72
81	15224424.82
82	15047378.68
83	14872392.07
84	14699433.81
85	14528479.83
86	14359523.5
87	14192536.16
88	14027483.44
89	13864358.71
90	13703131.17
91	13543762.78
92	13386262.33
93	13230594.73
94	13076733.85
95	12924661.27
96	12774354.82
97	12625801.04
98	12478969.41
99	12333851.36
100	12190423.89
101	12048663.83
102	11908541.94
103	11770050.45
104	11633180.01
105	11497900.56
106	11364192.83
107	11232032.43
108	11101389.08
109	10972295.38
110	10844694.01
111	10718555.28
112	10593912.9
113	10470720.51
114	10348934.8
115	10228589.97
116	10109646.86
117	9992064.382
118	9875870.409
119	9761022.538
120	9647515.219
121	9535318.338
122	9424416.75
123	9314815.323
124	9206498.093
125	9099441.173
126	8993629.328
127	8889049.179
128	8785669.978
129	8683507.074
130	8582520.79
131	8482719.321
132	8384079.138
133	8286577.86
134	8190218.822
135	8094962.963
136	8000831.906
137	7907797.873
138	7815825.759
139	7724927.202
140	7635095.252
141	7546312.291
142	7458538.135
143	7371810.287
144	7286090.719
145	7201363.467
146	7117625.229
147	7034855.582
148	6953055.522
149	6872207.358
150	6792298.707
151	6713317.788
152	6635258.481
153	6558107.133
154	6481853.034
155	6406485.16
156	6331992.274
157	6258368.33
158	6185600.512
159	6113676.056
160	6042591.838
161	5972327.814
162	5902887.877
163	5834253.725
164	5766410.931
165	5699357.819
166	5633066.711
167	5567571.391
168	5502837.546
169	5438858.087
170	5375620.948
171	5313119.766
172	5251346.899
173	5190292.925
174	5129949.142
175	5070307.575
176	5011359.878
177	4953096.601
178	4895512.499
179	4838597.94
180	4782345.198
181	4726740.791
182	4671788.745
183	4617477.163
184	4563796.368
185	4510737.819
