iter	Passed	Remaining
0	5	5265
1	10	5056
2	14	4944
3	19	4801
4	24	4823
5	28	4723
6	32	4635
7	36	4582
8	41	4581
9	46	4555
10	50	4524
11	54	4506
12	59	4496
13	63	4470
14	67	4448
15	72	4434
16	76	4415
17	80	4398
18	85	4393
19	89	4393
20	93	4376
21	98	4362
22	102	4369
23	107	4360
24	111	4344
25	115	4333
26	119	4321
27	124	4311
28	128	4306
29	132	4295
30	137	4292
31	141	4285
32	145	4275
33	149	4235
34	153	4235
35	157	4227
36	162	4218
37	166	4212
38	170	4211
39	175	4202
40	179	4193
41	183	4186
42	187	4180
43	192	4172
44	196	4163
45	200	4158
46	205	4159
47	209	4151
48	213	4144
49	217	4140
50	222	4134
51	226	4127
52	231	4127
53	235	4124
54	239	4123
55	244	4119
56	248	4111
57	253	4112
58	257	4105
59	261	4099
60	266	4095
61	270	4092
62	274	4086
63	278	4080
64	283	4077
65	287	4071
66	291	4065
67	296	4061
68	301	4066
69	305	4063
70	310	4057
71	314	4053
72	318	4046
73	323	4042
74	327	4042
75	332	4039
76	336	4037
77	342	4043
78	346	4040
79	350	4035
80	355	4033
81	360	4033
82	364	4029
83	369	4024
84	373	4018
85	377	4016
86	382	4010
87	386	4003
88	390	3998
89	394	3993
90	399	3987
91	403	3981
92	408	3983
93	412	3980
94	417	3976
95	421	3971
96	426	3969
97	430	3963
98	435	3965
99	440	3963
100	444	3958
101	447	3943
102	452	3938
103	456	3936
104	461	3931
105	465	3924
106	469	3920
107	474	3917
108	478	3911
109	482	3906
110	487	3900
111	491	3895
112	495	3889
113	499	3884
114	503	3878
115	508	3877
116	512	3871
117	517	3865
118	521	3862
119	526	3857
120	530	3851
121	534	3847
122	539	3843
123	543	3838
124	547	3833
125	551	3828
126	556	3824
127	560	3819
128	564	3813
129	569	3808
130	573	3804
131	577	3798
132	581	3793
133	586	3788
134	590	3783
135	594	3779
136	599	3773
137	603	3769
138	607	3764
139	612	3760
140	616	3755
141	620	3750
142	625	3745
143	629	3740
144	633	3735
145	637	3731
146	642	3726
147	646	3721
148	650	3716
149	655	3711
150	659	3706
151	663	3701
152	667	3697
153	672	3693
154	676	3688
155	681	3684
156	685	3681
157	690	3677
158	694	3672
159	698	3668
160	703	3668
161	708	3665
162	714	3667
163	719	3669
164	724	3666
165	729	3664
166	734	3661
167	738	3657
168	743	3656
169	748	3654
170	754	3657
171	759	3658
172	765	3660
173	770	3659
174	775	3658
175	782	3664
176	788	3664
177	793	3662
178	798	3664
179	804	3664
180	809	3663
181	814	3662
182	819	3660
183	825	3660
184	830	3658
185	835	3655
186	840	3652
187	844	3649
188	849	3646
189	854	3641
190	858	3636
191	863	3632
192	867	3628
193	872	3623
194	876	3618
195	881	3616
196	885	3611
197	890	3606
198	894	3601
199	899	3598
200	904	3594
201	908	3589
202	913	3585
203	917	3580
204	922	3576
205	927	3575
206	937	3591
207	945	3599
208	953	3608
209	962	3621
210	971	3632
211	980	3645
212	991	3664
213	1000	3673
214	1008	3683
215	1017	3692
216	1025	3700
217	1034	3709
218	1045	3727
219	1053	3736
220	1063	3747
221	1071	3756
222	1080	3765
223	1089	3774
224	1098	3783
225	1106	3791
226	1116	3801
227	1125	3811
228	1130	3807
229	1139	3815
230	1148	3823
231	1157	3831
232	1165	3837
233	1175	3847
234	1184	3854
235	1192	3862
236	1201	3867
237	1209	3873
238	1218	3879
239	1227	3887
240	1236	3894
241	1245	3902
242	1255	3912
243	1264	3916
244	1272	3922
245	1281	3926
246	1289	3931
247	1298	3935
248	1306	3939
249	1314	3942
250	1322	3945
251	1330	3947
252	1338	3950
253	1345	3952
254	1353	3955
255	1361	3956
256	1369	3959
257	1377	3960
